01-20 14:58 root         DEBUG    

   =====  ===== STARTED :fradar.py ON :14:58:49.144000   =====  =====
01-20 14:58 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:58 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 14:59 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 14:59 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 15:00 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 15:00 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
01-20 15:00 requests.packages.urllib3.connectionpool INFO     Starting new HTTP connection (1): arn.data.fr24.com
01-20 15:00 requests.packages.urllib3.connectionpool DEBUG    "GET /zones/fcgi/feed.js?bounds=60.9132694,58.9132694,9.7391112,11.7391112 HTTP/1.1" 200 None
